id,title,leetcode_url,pattern,difficulty,must_do,status,last_done,next_review_1,next_review_7,next_review_21,times_solved,notes_url,priority
NC150-026,Car Fleet,https://leetcode.com/problems/car-fleet/,Stack,Medium,FALSE,,,,,,,,
NC150-027,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Stack,Hard,FALSE,,,,,,,,
NC150-028,Binary Search,https://leetcode.com/problems/binary-search/,Binary Search,Easy,TRUE,,,,,,,,
NC150-029,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Binary Search,Medium,TRUE,,,,,,,,
NC150-030,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,Binary Search,Medium,TRUE,,,,,,,,
NC150-031,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Binary Search,Medium,TRUE,,,,,,,,
NC150-032,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Binary Search,Medium,TRUE,,,,,,,,
NC150-033,Time Based Key Value Store,https://leetcode.com/problems/time-based-key-value-store/,Binary Search,Medium,FALSE,,,,,,,,
NC150-034,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Binary Search,Hard,FALSE,,,,,,,,
NC150-035,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Linked List,Easy,TRUE,,,,,,,,
NC150-036,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Linked List,Easy,TRUE,,,,,,,,
NC150-037,Reorder List,https://leetcode.com/problems/reorder-list/,Linked List,Medium,FALSE,,,,,,,,
NC150-038,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Linked List,Medium,TRUE,,,,,,,,
NC150-039,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Linked List,Medium,FALSE,,,,,,,,
NC150-040,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Linked List,Medium,FALSE,,,,,,,,
NC150-041,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Linked List,Easy,TRUE,,,,,,,,
NC150-042,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,Linked List,Medium,FALSE,,,,,,,,
NC150-043,LRU Cache,https://leetcode.com/problems/lru-cache/,Linked List,Medium,TRUE,,,,,,,,
NC150-044,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Linked List,Hard,FALSE,,,,,,,,
NC150-045,Reverse Nodes in k Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Linked List,Hard,FALSE,,,,,,,,
NC150-046,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,Trees,Easy,TRUE,,,,,,,,
NC150-047,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Trees,Easy,TRUE,,,,,,,,
NC150-048,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,Trees,Easy,TRUE,,,,,,,,
NC150-049,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,Trees,Easy,FALSE,,,,,,,,
NC150-050,Same Tree,https://leetcode.com/problems/same-tree/,Trees,Easy,FALSE,,,,,,,,
NC150-051,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,Trees,Easy,FALSE,,,,,,,,
NC150-052,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Trees,Medium,FALSE,,,,,,,,
NC150-053,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Trees,Medium,TRUE,,,,,,,,
NC150-054,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Trees,Medium,FALSE,,,,,,,,
NC150-055,Count Good Nodes in Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,Trees,Medium,FALSE,,,,,,,,
NC150-056,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Trees,Medium,TRUE,,,,,,,,
NC150-057,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Trees,Medium,TRUE,,,,,,,,
NC150-058,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Trees,Medium,FALSE,,,,,,,,
NC150-059,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Trees,Hard,FALSE,,,,,,,,
NC150-060,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Trees,Hard,FALSE,,,,,,,,
NC150-061,Implement Trie Prefix Tree,https://leetcode.com/problems/implement-trie-prefix-tree/,Tries,Medium,FALSE,,,,,,,,
NC150-062,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Tries,Medium,FALSE,,,,,,,,
NC150-063,Word Search II,https://leetcode.com/problems/word-search-ii/,Tries,Hard,FALSE,,,,,,,,
NC150-064,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Heap,Medium,TRUE,,,,,,,,
NC150-065,Last Stone Weight,https://leetcode.com/problems/last-stone-weight/,Heap,Easy,FALSE,,,,,,,,
NC150-066,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/,Heap,Medium,TRUE,,,,,,,,
NC150-067,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/,Heap,Easy,FALSE,,,,,,,,
NC150-068,Task Scheduler,https://leetcode.com/problems/task-scheduler/,Heap,Medium,FALSE,,,,,,,,
NC150-069,Design Twitter,https://leetcode.com/problems/design-twitter/,Heap,Medium,FALSE,,,,,,,,
NC150-070,Subsets,https://leetcode.com/problems/subsets/,Backtracking,Medium,FALSE,,,,,,,,
NC150-071,Combination Sum,https://leetcode.com/problems/combination-sum/,Backtracking,Medium,FALSE,,,,,,,,
NC150-072,Permutations,https://leetcode.com/problems/permutations/,Backtracking,Medium,FALSE,,,,,,,,
NC150-073,Subsets II,https://leetcode.com/problems/subsets-ii/,Backtracking,Medium,FALSE,,,,,,,,
NC150-074,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Backtracking,Medium,FALSE,,,,,,,,
NC150-075,Word Search,https://leetcode.com/problems/word-search/,Backtracking,Medium,FALSE,,,,,,,,
NC150-076,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Backtracking,Medium,FALSE,,,,,,,,
NC150-077,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Backtracking,Medium,FALSE,,,,,,,,
NC150-078,N Queens,https://leetcode.com/problems/n-queens/,Backtracking,Hard,FALSE,,,,,,,,
NC150-079,Number of Islands,https://leetcode.com/problems/number-of-islands/,Graphs,Medium,TRUE,,,,,,,,
NC150-080,Max Area of Island,https://leetcode.com/problems/max-area-of-island/,Graphs,Medium,FALSE,,,,,,,,
NC150-081,Clone Graph,https://leetcode.com/problems/clone-graph/,Graphs,Medium,FALSE,,,,,,,,
NC150-082,Walls and Gates,https://leetcode.com/problems/walls-and-gates/,Graphs,Medium,FALSE,,,,,,,,
NC150-083,Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,Graphs,Medium,TRUE,,,,,,,,
NC150-084,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,Graphs,Medium,FALSE,,,,,,,,
NC150-085,Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,Graphs,Medium,FALSE,,,,,,,,
NC150-086,Course Schedule,https://leetcode.com/problems/course-schedule/,Graphs,Medium,TRUE,,,,,,,,
NC150-087,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Graphs,Medium,FALSE,,,,,,,,
NC150-088,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/,Graphs,Medium,FALSE,,,,,,,,
NC150-089,Number of Connected Components in an Undirected Graph,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,Graphs,Medium,TRUE,,,,,,,,
NC150-090,Redundant Connection,https://leetcode.com/problems/redundant-connection/,Graphs,Medium,FALSE,,,,,,,,
NC150-091,Word Ladder,https://leetcode.com/problems/word-ladder/,Graphs,Hard,FALSE,,,,,,,,
NC150-092,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary/,Advanced Graphs,Hard,FALSE,,,,,,,,
NC150-093,Min Cost to Connect All Points,https://leetcode.com/problems/min-cost-to-connect-all-points/,Advanced Graphs,Medium,FALSE,,,,,,,,
NC150-094,Network Delay Time,https://leetcode.com/problems/network-delay-time/,Advanced Graphs,Medium,FALSE,,,,,,,,
NC150-095,Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water/,Advanced Graphs,Hard,FALSE,,,,,,,,
NC150-096,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/,Advanced Graphs,Hard,FALSE,,,,,,,,
NC150-097,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,Advanced Graphs,Medium,FALSE,,,,,,,,
NC150-098,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,1D DP,Easy,FALSE,,,,,,,,
NC150-099,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs/,1D DP,Easy,FALSE,,,,,,,,
NC150-100,House Robber,https://leetcode.com/problems/house-robber/,1D DP,Medium,FALSE,,,,,,,,
NC150-101,House Robber II,https://leetcode.com/problems/house-robber-ii/,1D DP,Medium,FALSE,,,,,,,,
NC150-102,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,1D DP,Medium,FALSE,,,,,,,,
NC150-103,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,1D DP,Medium,FALSE,,,,,,,,
NC150-104,Decode Ways,https://leetcode.com/problems/decode-ways/,1D DP,Medium,FALSE,,,,,,,,
NC150-105,Coin Change,https://leetcode.com/problems/coin-change/,1D DP,Medium,FALSE,,,,,,,,
NC150-106,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,1D DP,Medium,FALSE,,,,,,,,
NC150-107,Word Break,https://leetcode.com/problems/word-break/,1D DP,Medium,FALSE,,,,,,,,
NC150-108,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,1D DP,Medium,FALSE,,,,,,,,
NC150-109,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,1D DP,Medium,FALSE,,,,,,,,
NC150-110,Unique Paths,https://leetcode.com/problems/unique-paths/,2D DP,Medium,FALSE,,,,,,,,
NC150-111,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,2D DP,Medium,FALSE,,,,,,,,
NC150-112,Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,2D DP,Medium,FALSE,,,,,,,,
NC150-113,Coin Change II,https://leetcode.com/problems/coin-change-ii/,2D DP,Medium,FALSE,,,,,,,,
NC150-114,Target Sum,https://leetcode.com/problems/target-sum/,2D DP,Medium,FALSE,,,,,,,,
NC150-115,Interleaving String,https://leetcode.com/problems/interleaving-string/,2D DP,Medium,FALSE,,,,,,,,
NC150-116,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,2D DP,Hard,FALSE,,,,,,,,
NC150-117,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,2D DP,Hard,FALSE,,,,,,,,
NC150-118,Edit Distance,https://leetcode.com/problems/edit-distance/,2D DP,Hard,FALSE,,,,,,,,
NC150-119,Burst Balloons,https://leetcode.com/problems/burst-balloons/,2D DP,Hard,FALSE,,,,,,,,
NC150-120,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,2D DP,Hard,FALSE,,,,,,,,
NC150-121,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Greedy,Medium,FALSE,,,,,,,,
NC150-122,Jump Game,https://leetcode.com/problems/jump-game/,Greedy,Medium,FALSE,,,,,,,,
NC150-123,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Greedy,Medium,FALSE,,,,,,,,
NC150-124,Gas Station,https://leetcode.com/problems/gas-station/,Greedy,Medium,FALSE,,,,,,,,
NC150-125,Hand of Straights,https://leetcode.com/problems/hand-of-straights/,Greedy,Medium,FALSE,,,,,,,,
NC150-126,Merge Triplets to Form Target Triplet,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,Greedy,Medium,FALSE,,,,,,,,
NC150-127,Partition Labels,https://leetcode.com/problems/partition-labels/,Greedy,Medium,FALSE,,,,,,,,
NC150-128,Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string/,Greedy,Medium,FALSE,,,,,,,,
NC150-129,Insert Interval,https://leetcode.com/problems/insert-interval/,Intervals,Medium,TRUE,,,,,,,,
NC150-130,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Intervals,Medium,TRUE,,,,,,,,
NC150-131,Non overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,Intervals,Medium,TRUE,,,,,,,,
NC150-132,Meeting Rooms,https://leetcode.com/problems/meeting-rooms/,Intervals,Easy,TRUE,,,,,,,,
NC150-133,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Intervals,Medium,TRUE,,,,,,,,
NC150-134,Minimum Interval to Include Each Query,https://leetcode.com/problems/minimum-interval-to-include-each-query/,Intervals,Hard,FALSE,,,,,,,,
NC150-135,Rotate Image,https://leetcode.com/problems/rotate-image/,Math,Medium,FALSE,,,,,,,,
NC150-136,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Math,Medium,FALSE,,,,,,,,
NC150-137,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Math,Medium,FALSE,,,,,,,,
NC150-138,Happy Number,https://leetcode.com/problems/happy-number/,Math,Easy,FALSE,,,,,,,,
NC150-139,Plus One,https://leetcode.com/problems/plus-one/,Math,Easy,FALSE,,,,,,,,
NC150-140,Pow x n,https://leetcode.com/problems/powx-n/,Math,Medium,FALSE,,,,,,,,
NC150-141,Multiply Strings,https://leetcode.com/problems/multiply-strings/,Math,Medium,FALSE,,,,,,,,
NC150-142,Detect Squares,https://leetcode.com/problems/detect-squares/,Math,Medium,FALSE,,,,,,,,
NC150-143,Single Number,https://leetcode.com/problems/single-number/,Bit Manipulation,Easy,FALSE,,,,,,,,
NC150-144,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/,Bit Manipulation,Easy,FALSE,,,,,,,,
NC150-145,Counting Bits,https://leetcode.com/problems/counting-bits/,Bit Manipulation,Easy,FALSE,,,,,,,,
NC150-146,Reverse Bits,https://leetcode.com/problems/reverse-bits/,Bit Manipulation,Easy,FALSE,,,,,,,,
NC150-147,Missing Number,https://leetcode.com/problems/missing-number/,Bit Manipulation,Easy,FALSE,,,,,,,,
NC150-148,Sum of Two Integers,https://leetcode.com/problems/sum-of-two-integers/,Bit Manipulation,Medium,FALSE,,,,,,,,
NC150-149,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Bit Manipulation,Medium,FALSE,,,,,,,,
NC150-150,Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack/,Design,Hard,FALSE,,,,,,,,
